Disease	Gene	Category
Multiple sclerosis	FLJ38122	Neurological
Multiple sclerosis	Foxg1	Neurological
Multiple sclerosis	FOXP1	Neurological
Multiple sclerosis	Fpr3	Neurological
Multiple sclerosis	Frmd6	Neurological
Multiple sclerosis	Fuca2	Neurological
Multiple sclerosis	Fut8	Neurological
Multiple sclerosis	Galc	Neurological
Multiple sclerosis	Gata3	Neurological
Multiple sclerosis	Gfi1	Neurological
Multiple sclerosis	GGNBP1	Neurological
Multiple sclerosis	Gimap6	Neurological
Multiple sclerosis	Gpc5	Neurological
Multiple sclerosis	Gpr65	Neurological
Multiple sclerosis	Grb2	Neurological
Multiple sclerosis	Gtdc1	Neurological
Multiple sclerosis	Hace1	Neurological
Multiple sclerosis	Hbs1l	Neurological
Multiple sclerosis	HHEX	Neurological
Multiple sclerosis	HLA	Neurological
Multiple sclerosis	HLA-B	Neurological
Multiple sclerosis	HLA-DQA1	Neurological
Multiple sclerosis	HLA-DQA2	Neurological
Multiple sclerosis	H2-Ab1	Neurological
Multiple sclerosis	H2-Ea	Neurological
Multiple sclerosis	H2-Eb2	Neurological
Multiple sclerosis	Hormad1	Neurological
Multiple sclerosis	Hoxa1	Neurological
Multiple sclerosis	Htr3a	Neurological
Multiple sclerosis	IFI30	Neurological
Multiple sclerosis	Ifitm6	Neurological
Multiple sclerosis	Ifngr2	Neurological
Multiple sclerosis	Igsf23	Neurological
Multiple sclerosis	Ikzf1	Neurological
Multiple sclerosis	Ikzf2	Neurological
Multiple sclerosis	Ikzf3	Neurological
Multiple sclerosis	Il10rb	Neurological
Multiple sclerosis	Il12a	Neurological
Multiple sclerosis	IL12A-AS1	Neurological
Multiple sclerosis	Il12b	Neurological
Multiple sclerosis	Il20ra	Neurological
Multiple sclerosis	Il22ra2	Neurological
Multiple sclerosis	Il2ra	Neurological
Multiple sclerosis	Il6	Neurological
Multiple sclerosis	Il7	Neurological
Multiple sclerosis	Il7r	Neurological
Multiple sclerosis	Ildr1	Neurological
Multiple sclerosis	Ints8	Neurological
Multiple sclerosis	Ip6k3	Neurological
Multiple sclerosis	Iqcb1	Neurological
Multiple sclerosis	Iqgap1	Neurological
Multiple sclerosis	Irf8	Neurological
Multiple sclerosis	Itpr1	Neurological
Multiple sclerosis	Itpr3	Neurological
Multiple sclerosis	Jade2	Neurological
Multiple sclerosis	Jak1	Neurological
Multiple sclerosis	Jarid2	Neurological
Multiple sclerosis	Jazf1	Neurological
Multiple sclerosis	Jdp2	Neurological
Multiple sclerosis	KCNB2	Neurological
Multiple sclerosis	Kcp	Neurological
Multiple sclerosis	Vwa8	Neurological
Multiple sclerosis	Kif1b	Neurological
Multiple sclerosis	Kif27	Neurological
Multiple sclerosis	Klf3	Neurological
Multiple sclerosis	Klf6	Neurological
Multiple sclerosis	Kpnb1	Neurological
Multiple sclerosis	L3mbtl3	Neurological
Multiple sclerosis	Lbh	Neurological
Multiple sclerosis	Lck	Neurological
Multiple sclerosis	Lcn6	Neurological
Multiple sclerosis	Lef1	Neurological
Multiple sclerosis	Limk2	Neurological
Multiple sclerosis	LINC00271	Neurological
Multiple sclerosis	LINC00423	Neurological
Multiple sclerosis	LINC00603	Neurological
Multiple sclerosis	LINC00708	Neurological
Multiple sclerosis	LINC01108	Neurological
Multiple sclerosis	LINC01146	Neurological
Multiple sclerosis	LINC01353	Neurological
Multiple sclerosis	Lipg	Neurological
Multiple sclerosis	LOC100129203	Neurological
Multiple sclerosis	LOC100130476	Neurological
Multiple sclerosis	LOC100131234	Neurological
Multiple sclerosis	LOC100289506	Neurological
Multiple sclerosis	LOC100505625	Neurological
Multiple sclerosis	LOC100506457	Neurological
Multiple sclerosis	LOC101926892	Neurological
Multiple sclerosis	LOC101927686	Neurological
Multiple sclerosis	LOC101928304	Neurological
Multiple sclerosis	LOC101928435	Neurological
Multiple sclerosis	LOC101929282	Neurological
Multiple sclerosis	LOC102723854	Neurological
Multiple sclerosis	LOC102724874	Neurological
Multiple sclerosis	LOC132321	Neurological
Multiple sclerosis	LOC152225	Neurological
Multiple sclerosis	LOC285501	Neurological
Multiple sclerosis	LOC285626	Neurological
Multiple sclerosis	LOC339788	Neurological
Multiple sclerosis	LOC399715	Neurological
Multiple sclerosis	LOC645434	Neurological
Multiple sclerosis	Lpcat1	Neurological
Multiple sclerosis	Lpp	Neurological
Multiple sclerosis	Lrrc34	Neurological
Multiple sclerosis	Ltbr	Neurological
Multiple sclerosis	Ly86	Neurological
Multiple sclerosis	Lztfl1	Neurological
Multiple sclerosis	Maf	Neurological
Multiple sclerosis	Malt1	Neurological
Multiple sclerosis	Mamstr	Neurological
Multiple sclerosis	Manba	Neurological
Multiple sclerosis	Map3k14	Neurological
Multiple sclerosis	Mapk1	Neurological
Multiple sclerosis	Mapk10	Neurological
Multiple sclerosis	Mapk3	Neurological
